magnitude,cdi,mmi,alert,sig,net,nst,dmin,gap,magType,depth,latitude,longitude,continent,country
6.6,0,7,,670,ak,0,0.0,0.0,mw,4.2,63.5144,-147.912,North America,United States of America
6.5,5,7,yellow,707,us,0,11.411,22.0,mww,9.0,33.1926,103.855,Asia,People's Republic of China
6.5,8,7,green,998,us,0,2.365,28.0,mww,90.0,-7.4921,108.174,,Indonesia
6.5,3,6,green,651,us,480,0.0,20.7,mww,29.0,50.958,157.408,Asia,
7.6,8,5,,1115,us,682,0.0,10.2,mww,28.0,10.811,126.638,,
7.4,7,7,green,873,us,0,4.035,23.0,mww,10.0,-33.2938,-177.838,,
6.7,0,6,,691,us,0,0.0,0.0,mwc,33.0,11.905,-86.772,,Nicaragua
6.5,0,6,,650,us,415,0.0,0.0,mwb,34.0,-7.977,30.709,Africa,Tanzania
6.8,8,7,yellow,954,us,0,2.268,15.0,mww,14.0,37.5203,20.5565,Europe,
6.8,1,3,green,711,us,136,4.678,22.0,mww,630.379,-25.9678,178.363,,
6.9,0,6,,732,us,531,0.0,14.9,mwc,110.0,-13.501,166.967,,Vanuatu
6.5,0,4,green,650,us,0,11.764,25.0,mwb,24.0,-28.4792,-176.619,,
7.2,0,5,,798,us,0,0.0,0.0,mwc,225.0,-23.548,-66.452,South America,Argentina
6.6,6,5,green,762,us,0,0.914,94.0,mww,27.0,11.5538,-86.9919,,
8.3,4,7,,1064,us,576,0.0,20.9,mwc,10.0,46.592,153.266,,
7.1,0,7,,776,us,439,0.0,28.8,mwc,10.0,-3.609,135.404,,Indonesia
6.7,5,6,,856,us,312,0.0,34.7,mwc,18.0,-36.217,-73.257,,
6.5,7,6,green,653,us,66,5.483,45.0,mww,10.0,-15.3597,166.385,,
6.8,7,7,orange,1005,us,0,7.359,17.0,mww,12.0,27.1825,65.5052,Asia,Pakistan
7.0,4,6,,757,us,396,0.0,12.7,mww,44.0,-5.746,150.765,,Papua New Guinea
6.9,5,5,,910,us,519,0.0,21.1,mwc,27.0,36.164,141.526,,
7.2,8,8,,820,us,708,0.0,50.2,mwb,15.0,4.695,-77.508,,Colombia
6.6,0,6,,670,us,0,0.0,0.0,mwb,33.0,37.106,70.11,Asia,Afghanistan
7.5,7,8,green,869,us,0,1.295,22.0,mww,55.0,-5.4624,151.875,,Papua New Guinea
7.0,9,8,yellow,1351,us,152,5.276,22.0,mww,33.729,17.5978,120.809,Asia,Philippines
6.8,0,7,,711,us,385,0.0,0.0,mwc,16.0,-9.613,159.53,,Solomon Islands
6.6,0,6,,670,us,0,0.0,0.0,mwc,27.0,-29.45,-71.715,,Chile
6.6,0,6,,670,us,0,0.0,0.0,mwc,33.0,-16.117,168.039,,Vanuatu
6.6,8,7,green,693,us,0,1.697,20.0,mww,17.0,39.2732,73.9776,Asia,People's Republic of China
7.3,0,5,,820,us,409,0.0,12.0,mwc,16.0,-19.702,167.947,,
6.9,5,7,,740,us,635,0.0,26.0,mwc,30.0,1.989,97.041,,Indonesia
7.6,7,5,,916,us,504,0.0,14.0,mwc,31.0,-23.043,-174.66,,
6.6,0,7,green,670,us,111,0.0,16.0,mww,10.0,10.701,-42.594,,
7.0,7,7,green,781,us,105,6.45,31.0,mww,62.603,-4.2924,143.155,Asia,Papua New Guinea
8.6,0,8,,1138,official,510,0.0,22.1,mww,30.0,2.085,97.108,,Indonesia
6.6,7,7,,736,us,255,0.0,27.8,mwb,18.0,-36.665,-73.374,,Chile
6.5,0,3,green,650,us,0,3.651,22.0,mww,44.26,-32.9076,-177.881,,
6.9,8,7,orange,1079,us,0,0.263,51.0,mww,53.0,14.724,-92.4614,,Mexico
7.0,8,8,red,2504,us,0,0.07,43.0,mww,20.0,16.9502,-99.7877,North America,Mexico
6.7,9,6,green,708,us,0,2.188,43.0,mww,28.0,-0.6831,98.6034,Asia,Indonesia
7.8,8,7,,1020,us,714,0.0,16.1,mwb,115.6,-19.987,-69.197,South America,Chile
6.8,3,6,green,716,us,0,3.727,11.0,mww,42.0,-6.0033,148.887,,Papua New Guinea
7.8,9,9,orange,1163,us,0,1.44,15.0,mww,20.59,0.3819,-79.9218,South America,Ecuador
7.1,3,6,green,776,us,0,4.415,13.0,mww,434.0,-19.6903,-177.759,,
6.6,1,3,green,670,us,0,2.6,9.0,mww,614.0,6.1572,123.126,,Philippines
6.5,0,8,,650,us,406,0.0,0.0,mwc,10.0,63.966,-20.487,,Iceland
7.7,5,6,green,971,us,0,3.294,14.0,mww,196.0,18.5429,145.507,,
6.6,0,2,green,670,us,52,5.123,50.0,mww,598.467,-25.2657,178.424,,
7.1,8,8,orange,1790,ak,0,0.0,0.0,mw,46.7,61.3464,-149.955,North America,United States of America
6.5,0,4,green,650,us,0,2.124,15.0,mww,20.0,-6.2304,152.807,,
6.5,4,5,,708,us,598,0.0,57.3,mww,20.0,14.129,-92.164,,
6.6,4,5,,680,us,630,0.0,18.4,mwc,17.0,11.005,91.824,,
6.6,4,5,green,676,us,0,0.529,21.0,mww,13.0,-21.5027,168.598,,
6.5,0,8,,650,us,483,0.0,0.0,mwc,10.0,39.059,24.244,Europe,Greece
7.4,0,7,,842,us,514,0.0,78.8,mwc,33.0,41.774,143.593,Asia,
7.7,7,4,,941,us,862,0.0,13.8,mww,583.2,49.8,145.064,,
7.4,9,8,,1752,us,672,0.0,37.9,mww,20.0,16.493,-98.231,North America,Mexico
6.7,0,6,,691,us,243,0.0,42.5,mwb,17.4,-3.12,127.4,,Indonesia
6.6,0,6,,670,us,463,0.0,14.1,mwc,96.0,1.885,127.363,,Indonesia
6.8,3,3,green,715,us,0,1.181,16.0,mww,570.41,-8.144,-71.587,South America,Brazil
6.7,0,6,,691,us,253,0.0,40.3,mwc,12.0,-1.034,126.976,,Indonesia
6.5,0,6,,650,us,487,0.0,45.9,mwb,35.0,12.025,125.416,,Philippines
6.8,0,5,,711,us,0,0.0,0.0,mwb,198.7,3.849,-75.749,South America,Colombia
7.0,7,5,,761,us,406,0.0,15.3,mww,185.1,-20.671,169.716,,
7.2,4,4,,838,us,443,0.0,17.0,mww,19.0,2.433,93.21,,
6.6,7,6,yellow,886,us,0,1.193,22.0,mww,57.92,13.1994,-89.3056,,
6.6,6,7,yellow,671,us,0,4.591,14.0,mww,17.0,56.9401,162.786,Asia,Russia
6.6,0,6,,670,us,0,0.0,0.0,mwc,33.0,11.657,-86.856,,
6.9,0,5,,732,us,0,0.0,0.0,mwb,10.0,7.742,127.647,,
6.7,0,8,,691,us,333,0.0,0.0,mwc,11.0,-3.212,142.427,,Papua New Guinea
6.9,9,7,green,951,us,0,0.402,25.0,mww,6.43,40.2893,25.3889,Europe,Greece
7.1,8,7,green,843,us,0,4.446,17.0,mww,40.0,-15.8385,-74.5112,,Peru
6.6,9,8,orange,1012,us,0,2.685,13.0,mww,13.0,37.8167,101.299,Asia,People's Republic of China
7.7,9,4,green,918,us,0,7.989,15.0,mww,10.0,-23.2787,171.489,,
7.5,8,7,,1018,us,696,0.0,26.2,mwb,115.0,-5.678,-76.398,South America,Peru
7.8,0,7,,936,us,352,0.0,19.2,mwc,31.0,2.383,97.048,,Indonesia
6.9,0,5,green,732,us,0,0.828,119.0,mww,28.42,-19.8927,-70.9455,,
6.5,4,4,green,651,us,0,5.931,20.0,mww,246.0,-21.6857,-177.064,,
6.9,9,5,green,739,us,0,1.55,16.0,mww,15.0,-61.8484,-55.559,,Antarctica
7.0,5,6,green,758,us,0,0.624,53.0,mww,29.0,51.537,-175.23,,
6.8,6,7,,716,us,285,0.0,40.1,mwc,26.0,-22.925,-70.237,South America,Chile
6.7,0,3,green,691,us,0,2.958,11.0,mww,573.0,53.1995,152.786,,
7.5,9,6,green,868,us,0,7.227,38.0,mww,47.23,-57.5959,-25.1874,,
6.5,6,5,,810,us,491,0.0,27.0,mwc,32.0,37.745,141.59,,
6.9,5,4,green,738,ak,0,0.0,0.0,mww,33.3,55.2364,-157.707,,
7.3,8,7,orange,1563,us,0,0.677,11.0,mww,15.0,27.8087,86.0655,Asia,Nepal
6.6,0,7,,670,us,0,0.0,0.0,mwb,49.5,-23.944,-70.093,South America,Chile
6.8,0,5,,711,us,0,0.0,0.0,mwc,50.0,5.41,126.764,,Indonesia
6.6,0,8,,670,us,0,0.0,0.0,mwc,9.0,30.154,57.605,Asia,Iran
6.6,0,6,,670,us,352,0.0,18.6,mwc,11.0,-6.482,151.195,,
7.0,0,6,,754,us,482,0.0,0.0,mwc,37.0,12.686,144.98,,
6.7,4,7,,692,us,325,0.0,28.0,mwc,12.0,30.901,83.52,Asia,People's Republic of China
8.2,8,6,green,1237,us,0,0.875,66.0,mww,46.66,55.4742,-157.917,,
7.6,8,6,green,907,us,111,3.631,17.0,mww,210.097,-15.6002,-174.608,,
6.9,3,8,yellow,733,us,0,7.496,18.0,mww,10.0,35.9053,82.5864,Asia,People's Republic of China
6.9,7,7,,988,us,382,0.0,34.7,mww,26.0,-36.422,-72.96,South America,Chile
6.8,8,7,yellow,1179,us,175,2.137,92.0,mww,20.0,18.33,-102.913,North America,Mexico
6.7,7,6,green,797,us,145,1.151,37.0,mww,20.0,7.6712,-82.3396,,Panama
6.5,3,4,green,652,us,0,2.277,11.0,mww,460.0,27.7375,139.725,,
6.8,5,6,green,717,us,0,0.791,28.0,mww,15.46,-1.8146,122.58,,Indonesia
7.7,0,9,,912,us,472,0.0,0.0,mwc,16.0,23.419,70.232,Asia,India
7.6,0,7,,889,us,0,0.0,0.0,mwc,26.0,-1.105,123.573,,Indonesia
6.7,5,5,,693,us,269,0.0,13.8,mwc,64.0,-5.157,153.782,,Papua New Guinea
7.0,0,7,,754,us,367,0.0,33.0,mwc,16.6,-3.615,135.538,,Indonesia
